Content,Source
"Aerobar by Aerotel UNWIND AND ENJOY A DRINK AT AEROBAR At Aerobar, we offer an array of dining delights and a comprehensive selection of wines, spirits, cocktails, beers and non-alcoholic drinks. As the only airport transit hotel in the world equipped with an outdoor swimming pool, poolside bar, shower facilities and designed with a Safari theme to give you a one-of-a-kind experience. Travelers can now take a refreshing dip while waiting for their next flight –unwind in an oasis amid a busy airport. T1 Transit Aerotel Airport Transit Hotel, Level 3, Departure Transit Hall (near D Gates) Opening hours: 12:00PM - 10:00PM MAP Closing soon Open now Closed now",https://www.changiairport.com/en/airport-guide/facilities-and-services/aerobar-by-aerotel.html
"Airline Lounges PEACE AND QUIET TO WORK OR RELAX Need a quiet place to rest or catch up on work? Your airline might have an exclusive lounge facility for you. Terminal 1 Terminal 2 Terminal 3 Terminal 4 British Airways Lounge Tel: +65 6214 4195 Location: Level 3, Departure Transit Hall Click here for more information Emirates Lounge Tel: +65 6543 3501 / +65 6543 3503 (After operating hours) Location: Level 3, Departure Transit Hall Click here for more information Marhaba Lounge Tel: +65 6546 4976 Location: Level 3, Departure Transit Hall Qantas Business Lounge Tel: +65 6543 8113 / +65 6543 8114 Location: Level 3, Departure Transit Hall Click here for more information Qantas First Lounge Tel: +65 6543 8113 / +65 6543 8114 Location: Level 3, Departure Transit Hall Click here for more information Qatar Airways Premium Lounge Tel: +65 6241 5184 Location: Level 3, Departure Transit Hall Click here for more information SATS Premier Lounge Tel: +65 6541 8500 Location: Level 3, Departure Transit Hall SATS Special Services Lounge Tel: +65 6541 1880 Location: Level 3, Departure Transit Hall SATS Premier Check-in Lounge Location: Level 2, Departure Hall SilverKris Lounge Tel:+65 6223 8888 (SIA 24 hours Contact Centre) Location: Level 3, Departure Transit Hall Click here for more information KrisFlyer Gold Lounge Tel:+65 6223 8888 (SIA 24 hours Contact Centre) Location: Level 3, Departure Transit Hall Click here for more information SATS Premier Lounge Tel: +65 6541 8885 Location: Level 3, Departure Transit Hall SATS Special Service Lounge Tel: +65 6541 1880 Location: Level 2, Departure Transit Hall SATS Premier Check in Lounge Tel: +65 6589 0559 Location: Level 2, Departure Hall DBS Private Access Lounge Tel: +65 6543 3473 Location: Level 3, Departure Transit Hall Click here for more information SIA First Class Check in Lounge Tel: +65 6223 8888 Location: Level 2, Departure Hall Marhaba Lounge Tel: +65 6242 7512 Location: Unit #03-09A, Level 3, Departure Transit Hall SilverKris Lounge Tel: +65 6223 8888 (SIA 24 hours Contact Centre) Location: Level 3, Departure Transit Hall Click here for more information KrisFlyer Gold Lounge Tel: +65 6223 8888 (SIA 24 hours Contact Centre) Location: Level 3, Departure Transit Hall Click here for more information SATS Premier Lounge Tel: +65 6541 1280 Location: Level 3, Departure Transit Hall (Closed for Renovation) SATS Special Service Lounge Tel: +65 6541 1880 Location: Level 2, Departure Transit Hall DBS Private Access Lounge Tel: 1800 221 1818 (24hours hotline) Location: Level 3, Departure Transit Hall DBS Asia Treasures Lounge Tel: 1800 221 1818 (24hours hotline) Location: Level 3, Departure Transit Hall Click here for more information SIA First Class Check in Lounge Location: Level 2, Departure Hall Blossom – SATS & Plaza Premium Lounge For walk-in passengers, please refer to prevailing rates here . (Please note that massage services are temporarily unavailable.) Tel: +65 6581 3073 Location: Level 2M, Departure Transit Hall Cathay Pacific Lounge Location: Level 2M, Departure Transit Hall Click here for more information",https://www.changiairport.com/en/airport-guide/facilities-and-services/airline-lounges.html
"Airport Parking SHORT AND LONG-TERM PARKING There are five car parks at Changi Airport—one at each Terminal, as well as the Hub & Spoke Car Park between Terminal 2 and JetQuay. Enjoy a 10-minute grace period for pick-up/drop-off at all car parks. Full parking charges will apply for vehicles and motorcycles that stay in the car park beyond 10 minutes from the time of entry. Electric Vehicle Charging Electric Vehicle (EV) charging stations offering paid charging services are available. Please download the SP Utilities app to charge the EVs. Prevailing charging rates apply. Locations : T1/Jewel Car Park, B3, Lobby C, parking spaces 207-212 T3 Car Park 3A, B1, parking spaces 237-242 Charger type : 22 kW AC No. of Charging Stations : 6 at each location Note : Please move your EV to another carpark space within 30mins after it is fully charged, to enable usage by other drivers. Preferential Parking Rates Parking Information blob Preferential Parking Rates long term parking for travellers Park & Fly Going on a short overseas trip and prefer the convenience of driving and parking your own car at the airport? Reduce your travel stress and enjoy preferential rates when you book your parking at the airport for duration of more than 24 hours. FIND OUT MORE Parking scheme for airport staff Park & Work The Park & Work scheme is a temporary parking scheme to cater to airport staff without season parking, and are required to return to the airport on an ad-hoc basis. Purchase 9 hours parking credits in a bundle of 5 coupons at $65 (usual price: $108). FIND OUT MORE Parking Information Parking Rates Cars and vans Car Park Charges Terminal 1 / Jewel Car Park Short-term Parking (B2M and B2) First 90 mins S$0.04/min Subsequent 30 mins or part thereof S$5/30 mins General Parking (B3 to B5) S$0.04/min Terminal 2, 3 and 4 Car Parks A & B S$0.04/min (or S$57.60 for 24 hours of parking) Hub & Spoke Car Park (Open-air car park between Terminal 2 and JetQuay) S$0.035/min (capped at S$35 per 24 hrs) Motorcycles and scooters Car Park Charges Terminal 1 Car Park Terminal 2 Car Park 2A & 2B Terminal 3 Car Park 3A & 3B Terminal 4 Car Park 4A & 4B (Main terminal car parks) S$1.30/day (7:00 AM–6:59 AM the next day ) Payment and Top Up Locations Payment and Card Top-up All car parks at Changi Airport are managed by an electronic parking system. This means payment will automatically be deducted from a CashCard or Autopass Card at the car park exit station. Please insert the card into the In-vehicle Unit or the reader in the exit station. Do ensure sufficient value in the card before exiting. Receipts are available on request. You may top up the value in your CashCard or Autopass Card using the top-up machines located in the Terminals and car parks. The top-up machines only accept payment via NETS. For cash top-up, drop by any Cheers store located in Terminals 2, 3 or 4. For assistance, you may call the car park service hotline at +65 9336 2249 . Top-up Locations Car Park Locations Terminal 1 Car Park Level B2M to B5 (next to Lift and Escalator Lobby) Level B2M to B5 (Car Park Exit) 2A Level 1 (Car Park Exit) Level 3 (Lift Lobby for Lifts 9, 10 and 11) 2B Level 2 (Terminal Building Entrance from Car Park) 3A Level B1 (in front of Airline Offices and Car Park Exit) Level B2 (beside Car Park Booth and Car Park Exit) 3B Level B1 (beside Lift PL12 and PL13 and Car Park Exit) Level B2 (Terminal Building Entrance from Car Park and Car Park Exit) 4A Level 1 (Lift Lobby) 4B Level 1 (Lift Lobby) General Parking Enquiries For general parking enquiries, please email Wilson Parking (S) Pte Ltd at airportmanagement@wilsonparking.com.sg Alternatively, you may also contact them at the following hotline: Terminals 1, 2,3, 4 and Changi Airfreight Centre +65 9336 2249 Seasonal Parking Seasonal parking services are available in Changi Airport and Changi Airfreight Centre. For information on application procedures for Changi Airport, please email Wilson Parking (S) Pte Ltd at park@wilsonparking.com.sg Alternatively, you may also contact them at the following hotlines: Terminals 1, 2,3, 4 and Changi Airfreight Centre +65 6411 5592 Terms and Conditions Please refer to the full terms and conditions here .",https://www.changiairport.com/en/airport-guide/facilities-and-services/airport-parking.html
"Baby Care Rooms THE BEST CARE FOR YOUR BABY At our Baby Care Rooms, you can attend to your little ones in comfort and privacy. Each room comes equipped with hot water dispensers for your convenience. Terminal 1 Public Level 1, near Lobby A Level 1, near MAMUM To Go Level 1, besides Changi Lounge Level 2, near Check-in Row 2 Level 3, near Viewing Gallery Transit Level 2, Departure Transit Hall East (near Transfer D) Level 2, Departure Transit Hall East (near gate D38) Level 2, Departure Transit Hall East (D common gate holdroom D38, D48, D49) Level 2, Departure Transit Hall West (near West Quickbites area) Level 2, Departure Transit Hall West (near TV Lounge below Burger King) Level 2, Departure Transit Hall West (C2/ C3 bus gate) Level 2, Departure Transit Hall West (near gate C24) Level 2, Departure Transit Hall West (C common gate holdroom C19, C25, C26) Terminal 2 Public Level 1, Arrival Hall North (opposite Paris Baguette) Level 1, Arrival Hall South (opposite McDonald's) Level 2, Departure Hall (near check-in row 1) Level 2, Departure Hall (near check-in row 6) Level 3 (near Chutney Mary) Level 3 (near Jones The Grocer) Transit Level 1, Arrival Baggage Claim Hall (between Belt 33 and 36) Level 2, Departure Transit Hall North (near gate holdroom E1) Level 2, Departure Transit Hall North (near gate holdroom E24) Level 2, Departure Transit Hall North (near gate holdroom E6) Level 2, Departure Transit Hall North (next to Children's Play Area) Level 2, Departure Transit Hall South (near gate holdroom F52) Level 2, Departure Transit Hall South (near gate holdroom F32) Level 2, Departure Transit Hall South (next to GST refund & customs counters) Terminal 3 Public Level 1, Arrival Hall (next to Cheers) Level 2, Departure Hall (near Check-in Row 6) Level 2, Departure Immigration (both sides) Level 2, Departure Hall North (opposite Godiva) Basement 2 (near to Raffles Medical) Basement 2 (next to T3 slides) Transit Level 2, Departure Transit Hall North (behind Lululemon) Level 2, Departure Transit Hall North (opposite Butterfly Garden) Level 2, Depature Transit Hall North (opposite Transfer B) Level 2, Departure Transit Hall North (inside gate holdrooms B1 - B4) Level 2, Departure Transit Hall North (next to gate holdroom B9) Level 1, Departure Transit Hall South (Inside bus gates A6–A8) Level 2, Departure Transit Hall South (behind TWG Tea Boutique) Level 2, Departure Transit Hall South (besides Harry's Bar and Dining) Level 2, Departure Transit Hall South (opposite Transfer A) Level 2, Departure Transit Hall South (inside gate holdrooms A1 - A8) Level 2, Departure Transit Hall South (both inside and outside gate holdrooms A16–A20) Level 2, Departure Transit Hall South (next to gate holdroom A21) Terminal 4 Public Level 1, Arrival Hall North Level 1, Arrival Hall South Level 2, Departure Hall South Level 2, Departure Transit Hall (Central) Level 2M, Departure Hall Transit Level 1, Baggage Claim Hall Level 1, Arrival Immigration Level 1, Bus Station Level 2, Departure Transit Hall North (near Gates 4, 7 and 10, and Peranakan Zone) Level 2, Departure Transit Hall North (near Gate 16) Level 2M, Departure Transit Hall Jewel Level B2 - 4",https://www.changiairport.com/en/airport-guide/facilities-and-services/baby-care-rooms.html
"Baggage Storage by Smarte Carte SHOP HANDS-FREE, COMFORTABLY If you need your baggage looked after, so you can shop hands-free or leave the airport comfortably, visit our Left Baggage counters. Please note that all bags or items that you decide to leave with us need to be inspected as part of our security requirements. Storage Rates Per 24 hours (inclusive of GST) Loose items: S$6.00 Small items (below 10kg): S$11.00 Big/Odd items (above 10kg): S$16.00 Extra large-sized items: S$19.00 KIDDIE CRUISER RENTAL @ BAGGAGE STORAGE JEWEL Have a fun-filled day with these Kruzzers, exclusively from Smarte Carte! Let your little one enjoys Jewel and Changi Airport with these cutesy cruisers. For rental, approach us at Jewel Baggage Storage for more information. Terminal 1 Transit , Level 2, Departure Transit Hall West (near Guardian) Operating Hours: 24hrs Tel: + 65 6214 0318 Map Terminal 2 Public , Level 1, Arrival Hall North (next to Arrival North Taxi Queue) Operating Hours: 24hrs Tel: +65 6241 8060 Map Transit , Level 2, Departure Transit Hall North (besides Raffles Medical) Operating Hours: 24hrs Tel: +65 6513 3671 Map Terminal 3 Public , Level 1 (near the Train to City) Operating Hours: 24hrs Tel: +65 6242 8936 Map Transit , Level 2, Departure Transit Hall (behind Maison De Chronus) Operating Hours: 24hrs Tel: +65 6214 0672 Map Terminal 4 Public, Level 1 (near the Terminal 4 - Terminal 2 Shuttle Bus) Operating Hours: 24hrs Tel: +65 6214 0927 Map Jewel Level 1 (near the Early Check-In Lounge) Operating hours: 24hrs Tel: +65 6214 0628 Map",https://www.changiairport.com/en/airport-guide/facilities-and-services/baggage-storage.html
"Banking Services & Cash Machines (ATMs) BANKING AT YOUR CONVENIENCE For your convenience, Cash Machines (ATMs) of different banks are available around the airport, in every terminal. United Overseas Bank (UOB) Terminal 2 Branch Operating hours: Monday – Friday, 9:30am – 4:30pm Closed on Saturday and Sundays. Address:Terminal 2, #B1-52",https://www.changiairport.com/en/airport-guide/facilities-and-services/atm.html
"BeRelax Spa Unwind & Relax with a Massage at Be Relax From Paris to the world, we invite you to discover the French way of well-being. Take a moment to relax before your flight with wellness and beauty services. We offer massages, nail care, shower, and facials from 15 to 60 min. Contact: +65 6241 7764 Opening hours: 8am-11pm Website: www.berelax.com T3 Transit T3 Transit Terminal 3, Level 2, Near Gate A1 MAP Closing soon Open now Closed now",https://www.changiairport.com/en/airport-guide/facilities-and-services/berelax-spa.html
"Car Rental A RIDE TO SUIT EVERY NEED Should you wish to rent a ride, please approach the car rental counters at the following Arrival Hall locations: Terminal 1 (Arrival Hall) Sixt: +65 6423 9566 / +65 9660 0506 Operating hours: 09:00AM to 09:00PM Terminal 2 (Arrival Hall) Avis / Budget : 1800 737 1668 / +65 6737 1668 Operating hours: 09:00AM to 05:30PM Terminal 3 (Arrival Hall) Avis / Budget : 1800 737 1668 / +65 6737 1668 Operating hours: 09:00AM to 05:30PM myCarriage (powered by Cycle & Carriage): +65 9777 9903 Operating hours: 10:00AM to 07:00PM RENT A CAR blob CAR Taking off from here? You are now leaving Changi Airport Group's website and about to head to a third party site. We have no control over it's content or availability and do not assume responsibility for any transactions that may occur. No Yes",https://www.changiairport.com/en/airport-guide/facilities-and-services/car-rental.html
"Changi Airport Post Office Get your mails and parcels delivered at Singpost, located at Terminal 2 Public Area, level 2. For over 160 years, SingPost has been delivering trusted and reliable services to homes and businesses in Singapore as the country’s postal service provider. Our post offices offer a wide range of products and services, such as stamp purchases, sending and collection of letters and parcels, bill payments, financial services and more. Operating hours: Mon - Fri: 0900 to 1800 Closed on weekends and public holidays",https://www.changiairport.com/en/airport-guide/facilities-and-services/postal-services.html
"Changi Lounge Located within Jewel Changi Airport (public area), Changi Lounge provides an exclusive and comfortable environment where you can rest and relax – with Jewel’s range of exciting attractions and lifestyle offerings right at the doorstep for your exploration. In between your travel plans, enjoy free flow of light snacks, internet connectivity and even business facilities at Changi Lounge. There are also shower and napping amenities, for those who seek to be rejuvenated before the next leg of their journey. There are different lounge access packages catering to different needs. Click on the Rates tab to find out more. Terms and Conditions Note: Priority Pass (including LoungeKey and LoungeKey Pass), Dragon Pass and DreamFolks members are accepted with valid boarding pass. Jewel #01-304 Opening hours: 6:00AM to 10:00PM Daily (Last order at 9:00PM) reservations.changilounge@changiairport.com +65 6513 8743 MAP Closing soon Open now Closed now Changi Lounge Rates CHANGI LOUNGE RATES Enjoy 3 hours of lounge access catered to your different needs. Lite Package: Adult: S$25++ | Child: S$17++ 3h lounge access Free flow snack bar Classic Package: Adult: S$39++ | Child: S$27++ 3h lounge access Free flow snack bar One hot meal One beer Premium Package: Adult: S$50++ | Child: S$39++ 3h lounge access Free flow snack bar One hot meal One beer One shower Shower only (includes linen and toiletries): 20-minute shower slot: S$20++ (last shower slot at 09:25 PM) Terms and conditions apply. Meeting Room Booking Meeting Room: (Includes stationery, presentation facility and access to snack bar) Single Room (up to 4 guests): S$80 for first hour S$80++ for one hour S$150++ for two hours S$250++ for four hours S$440++ for eight hours Additional guest (up to 8) per hour: S$10++ per guest Double Room (up to 8 guests): S$160++ for one hour S$300++ for two hours S$500++ for four hours S$880++ for eight hours Additional guest (up to 16) per hour: S$10++ per guest Extra Perk: Enjoy free parking* for 50% of guests with minimum of 2h meeting room booking. To book a meeting room, please write in to reservations.changilounge@changiairport.com . *Valid for Jewel / Terminal 1 carpark levels B3 to B5 only. Terms and conditions apply.",https://www.changiairport.com/en/airport-guide/facilities-and-services/changi-lounge.html
"Charging Points POWER UP WHEREVER YOU ARE With charging ports and universal power sockets across the airport, your mobile devices will never be low on power. Look out for the charging points at the Arrival and Departure Halls, to give your device a little boost. They are also located beside the seating area, in every gate holdroom, business lounge and more across all 4 Terminals. Charging ports across Changi Airport are charge-only. We will never request for data transfer to / from your mobile device. Public Terminal 1 Public Level 1, Arrival Hall East and West Level 2, Departure Hall (near Information Counter, between Check-in rows 7 and 8) Transit Level 2, Departure Transit Hall (within gate holdrooms and besides seats) Level 2, Departure Transit Hall (west Quickbite area) Level 2, Departure Transit Hall (central piazza) Level 3, Skyview Lounge Level 1, Baggage Claim Hall Terminal 2 Public Level 2, Departure Hall (located at the seating areas) Level 1, Arrival Hall (located at the seating areas) Transit Departure Transit Hall (within gate holdrooms and besides seats) Terminal 3 Public Level 2, Departure Hall (near Information Counter, between check-in rows 5 and 6) Level 1, Arrival Hall (in front of Cheers) Transit Departure Transit Hall (within gate holdrooms and besides seats) Terminal 4 Public Level 2, Departure Hall (located at the seating areas) Level 1, Arrival Hall (located at the seating areas) Transit Departure Transit Hall (within gate holdrooms and besides seats)",https://www.changiairport.com/en/airport-guide/facilities-and-services/charging-points.html
